spot,A,B,C,D,E,F,G,H,I,J
1.764052345967664x0.555962679709798x1,1.5650699,3.1870675,6.185691,2.0105352,7.445469,7.464194,8.256793,6.5364847,6.1245065,4.975863
0.4001572083672233x0.8924738873315303x1,1.8672138,4.2442455,5.949272,1.9622253,5.2769365,7.9155655,13.804298,6.264348,3.5346265,3.6195912
0.9787379841057392x-0.4223148241252707x1,1.1163131,1.3871752,4.475198,0.9728631,1.9789194,5.468331,4.4126782,4.013808,2.2956212,2.1572201
2.240893199201458x0.10471402943328433x1,1.5318916,2.2571473,6.341715,1.8956293,4.8058305,6.613357,5.0741053,6.12459,4.650803,5.325867
1.8675579901499675x0.2280533251240672x1,1.6376888,2.8029425,6.0801654,2.0148194,6.0575213,7.206634,5.3145947,5.73244,5.284271,5.469795
-0.977277879876411x0.20147994670443287x1,2.1716278,2.9437714,4.4568152,1.7238578,7.3953624,11.315389,5.6945944,7.664132,8.269788,7.1585946
0.9500884175255894x0.5407735853003902x1,1.4676493,2.2225182,5.5770426,1.4429818,5.2333736,6.516884,6.4699283,5.2245603,3.6255333,3.5593696
-0.1513572082976979x-1.8180776303835695x1,0.38531756,0.5570209,0.63118315,0.38493258,0.8775072,3.0196204,0.7077096,1.8082542,0.94551224,0.8963955
-0.10321885179355784x-0.04932407014757259x1,0.81846553,1.3637872,1.523808,0.7698877,2.1835053,2.5580332,2.967784,2.6843617,1.8324143,3.7648704
0.41059850193837233x0.2390336012467649x1,1.5486667,2.5538607,4.531894,1.4615871,4.2613873,6.081613,5.87663,4.9560795,3.66088,3.416169
0.144043571160878x-1.0003303489537054x1,0.53134197,0.63612384,1.0006496,0.50665164,0.9362625,2.0982893,1.1345985,1.5181226,1.36129,0.8083621
1.454273506962975x1.67398570701071x1,3.7543383,8.396743,13.059798,4.957316,11.139657,13.304926,17.650164,10.105586,10.246844,7.381465
0.7610377251469934x0.16155926723816796x1,1.2243268,2.0511553,6.922506,1.3008511,4.2298317,6.935906,3.9634101,3.9883337,3.2173784,3.1706328
0.12167501649282841x1.5634047450289295x1,2.4449482,3.4131486,4.5331235,2.5409148,5.312491,8.021533,5.6205125,5.366294,4.758005,2.6185408
0.44386323274542566x-0.7905230218330772x1,0.7612564,1.0626793,1.8337353,0.63102746,1.4874685,2.7890966,2.4084613,2.4822943,1.8251942,1.3416322
0.33367432737426683x-0.907300121525327x1,0.7280493,0.8878649,1.3849237,0.61995286,1.3269805,2.0119977,2.0369205,1.7234275,1.4890366,0.94592613
1.4940790731576061x0.2242522209656819x1,1.4983846,3.1251335,7.494314,1.8935775,5.8424144,8.253193,6.987749,5.6074324,5.058129,5.283447
-0.20515826376580087x-1.6786883628286566x1,0.3705093,0.504045,0.5833541,0.38441822,0.7025684,2.0178657,0.71419144,1.3408986,0.8306694,0.7036545
0.31306770165090136x0.21496559062609352x1,1.2314919,1.9087,3.2529714,1.0183395,3.2364588,4.887851,4.042184,3.784763,2.947845,2.424823
-0.8540957393017248x0.09721923200291803x1,1.3804415,1.559609,2.6547184,1.2298714,3.351069,4.6579847,3.6588023,4.6398506,3.5820296,4.2281423
-2.5529898158340787x1.0156652815421012x1,2.7540567,3.4227147,3.2180107,2.5074685,5.727593,6.5192466,5.998542,8.19446,6.4527054,6.99105
0.6536185954403606x0.7010413411650971x1,1.5272108,3.1176016,6.8282757,1.8703378,4.631439,7.0986094,5.816648,4.456039,3.664818,3.084187
0.8644361988595057x-0.417477349885034x1,0.924981,1.2367816,3.4292529,0.84071016,1.8660984,4.8849225,3.6453943,3.6694565,2.1987083,1.8190359
-0.7421650204064419x-1.0974966547702447x1,0.61037153,0.5583131,0.83213127,0.4376804,0.92688173,2.1229484,1.2227775,2.1299348,1.5830866,1.2507972
2.2697546239876076x1.7123052213432965x1,4.1019874,6.325146,9.699865,5.246232,11.190611,11.3054695,12.019773,11.337418,9.4911175,8.59375
-1.4543656745987648x-0.79211502056515x1,0.9028968,1.1138213,2.0374982,0.86768454,2.313593,3.5973363,2.2783008,2.7034721,3.1939716,2.8934991
0.04575851730144607x-1.0455245570694658x1,0.5374623,0.658322,0.8955052,0.4925098,0.95361423,2.0467331,1.2624065,1.648892,1.225784,0.80676204
-0.1871838500258336x-1.0848560594614451x1,0.6433166,0.7070646,0.94781846,0.5094588,1.1307555,2.8128455,1.4798951,2.1863296,1.915211,1.0934236
1.5327792143584575x1.1173053155366646x1,2.2973588,5.52893,6.5085616,2.8347387,7.085265,8.164092,10.967701,6.3686743,7.253599,4.330483
1.469358769900285x-0.5189002044248521x1,0.9113638,1.4948982,4.721893,1.0735152,2.2950065,6.061619,4.5808744,3.9409344,3.0429564,3.0496092
0.1549474256969163x-0.7537044661806008x1,0.7529936,0.9776138,1.5611778,0.60585755,1.447379,3.126874,1.8365088,2.3789415,2.1229825,1.2618197
0.37816251960217356x0.13768982590334733x1,1.4087354,1.9655864,4.149241,1.3242486,3.407903,4.7232637,5.775956,4.2441645,2.9605362,3.0214336
-0.8877857476301128x-0.20694471055729102x1,0.9199855,1.2310343,2.2520437,0.7848115,2.3856833,4.4770646,2.6959405,3.6272373,2.3445516,2.6604075
-1.980796468223927x-0.6780954607862469x1,1.181458,1.2455826,1.9453423,0.9382267,2.290656,3.9025455,2.2952502,3.8744907,3.4911058,3.4831357
-0.3479121493261526x0.7539914669784796x1,1.4717064,3.0311375,2.9249926,1.721154,5.3508034,6.0218143,4.983974,3.7562609,4.2575307,3.2927403
0.15634896910398005x1.0653154920979948x1,1.624814,2.5019827,2.798399,1.5357449,3.26809,4.9864063,4.191475,3.7738323,3.5691574,2.0483527
1.2302906807277207x0.9853175089398669x1,1.9870533,3.765656,5.468783,1.9760094,5.33478,6.223554,8.890091,5.6312675,3.9940627,4.3757687
1.2023798487844113x0.766919669661199x1,2.0804713,3.4723353,7.6742177,2.3898442,5.5797987,7.79277,8.295224,5.7323356,4.5863605,4.547792
-0.3873268174079523x0.4026255311300352x1,1.6199434,2.730969,2.817118,1.278809,5.3615346,7.999642,6.252579,5.3467507,6.236607,3.575034
-0.30230275057533557x-1.775887999961829x1,0.34610993,0.5471682,0.6101456,0.3923042,0.76573974,2.4558249,0.73053724,1.407643,0.87389505,0.7322316
-1.0485529650670926x1.6692508063769687x1,3.1984804,4.1569853,4.185956,2.8550053,8.381573,9.85237,7.099739,8.667077,8.2471485,6.4361815
-1.4200179371789752x0.30198921035755294x1,1.8708184,2.8921192,4.828384,2.1122255,7.452638,7.833353,5.249053,7.7942376,6.9349456,10.781904
-1.7062701906250126x0.6081564276006415x1,1.6323887,2.631446,4.1811395,1.805909,6.1905766,6.2260804,5.514833,5.873422,5.8152075,6.3766823
1.9507753952317897x1.1149623229474022x1,2.4010773,4.1643705,5.3759956,2.9958358,6.974309,6.293192,8.071254,6.3140597,6.954796,5.0460763
-0.5096521817516535x1.4333525028819918x1,2.7712772,4.164469,3.8060908,2.8265116,8.15938,8.100749,7.0542455,6.3590126,5.765097,5.654007
-0.4380743016111864x0.4183980113091925x1,1.5939735,2.4097269,2.5552678,1.3150896,4.6694345,7.504541,5.5823274,4.966532,5.6503615,4.0932217
